Slope_Angle,Cohesion,Friction_Angle,Nail_Inclination,Nail_Length,Drillhole_Diameter,Factor_of_Safety
30,10,15,10,9,125,1.438
30,10,15,10,9,150,1.438
30,10,15,10,9,175,1.438
30,10,15,10,9,200,1.438
30,10,15,10,12,125,1.658
30,10,15,10,12,150,1.682
30,10,15,10,12,175,1.696
30,10,15,10,12,200,1.709
30,10,15,10,15,125,1.925
30,10,15,10,15,150,1.991
30,10,15,10,15,175,2.024
30,10,15,10,15,200,2.024
30,10,15,15,6,125,1.343
30,10,15,15,6,150,1.343
30,10,15,15,6,175,1.343
30,10,15,15,6,200,1.343
30,10,15,15,9,125,1.481
30,10,15,15,9,150,1.481
30,10,15,15,9,175,1.481
30,10,15,15,9,200,1.481
30,10,15,15,12,125,1.727
30,10,15,15,12,150,1.756
30,10,15,15,12,175,1.780
30,10,15,15,12,200,1.801
30,10,15,15,15,125,1.995
30,10,15,15,15,150,2.064
30,10,15,15,15,175,2.093
30,10,15,15,15,200,2.093
30,10,15,20,6,125,1.372
30,10,15,20,6,150,1.372
30,10,15,20,6,175,1.372
30,10,15,20,6,200,1.372
30,10,15,20,9,125,1.535
30,10,15,20,9,150,1.538
30,10,15,20,9,175,1.538
30,10,15,20,9,200,1.539
30,10,15,20,12,125,1.789
30,10,15,20,12,150,1.823
30,10,15,20,12,175,1.857
30,10,15,20,12,200,1.879
30,10,15,20,15,125,2.057
30,10,15,20,15,150,2.139
30,10,15,20,15,175,2.153
30,10,15,20,15,200,2.153
30,10,25,5,6,125,1.804
30,10,25,5,6,150,1.806
30,10,25,5,6,175,1.809
30,10,25,5,6,200,1.810
30,10,25,5,9,125,1.996
30,10,25,5,9,150,2.000
30,10,25,5,9,175,2.004
30,10,25,5,9,200,2.006
30,10,25,5,12,125,2.343
30,10,25,5,12,150,2.347
30,10,25,5,12,175,2.392
30,10,25,5,12,200,2.407
30,10,25,5,15,125,2.568
30,10,25,5,15,150,2.568
30,10,25,5,15,175,2.568
30,10,25,5,15,200,2.568
30,10,25,10,6,125,1.852
30,10,25,10,6,150,1.856
30,10,25,10,6,175,1.860
30,10,25,10,6,200,1.862
30,10,25,10,9,125,2.096
30,10,25,10,9,150,2.104
30,10,25,10,9,175,2.104
30,10,25,10,9,200,2.104
30,10,25,10,12,125,2.475
30,10,25,10,12,150,2.501
30,10,25,10,12,175,2.501
30,10,25,10,12,200,2.501
30,10,25,10,15,125,2.662
30,10,25,10,15,150,2.662
30,10,25,10,15,175,2.662
30,10,25,10,15,200,2.662
30,10,25,15,6,125,1.898
30,10,25,15,6,150,1.903
30,10,25,15,6,175,1.906
30,10,25,15,6,200,1.91
30,10,25,15,9,125,2.184
30,10,25,15,9,150,2.187
30,10,25,15,9,175,2.187
30,10,25,15,9,200,2.187
30,10,25,15,12,125,2.570
30,10,25,15,12,150,2.570
30,10,25,15,12,175,2.570
30,10,25,15,12,200,2.570
30,10,25,15,15,125,2.745
30,10,25,15,15,150,2.745
30,10,25,15,15,175,2.745
30,10,25,15,15,200,2.745
30,10,25,20,6,125,1.952
30,10,25,20,6,150,1.956
30,10,25,20,6,175,1.961
30,10,25,20,6,200,1.965
30,10,25,20,9,125,2.272
30,10,25,20,9,150,2.284
30,10,25,20,9,175,2.293
30,10,25,20,9,200,2.293
30,10,25,20,12,125,2.624
30,10,25,20,12,150,2.624
30,10,25,20,12,175,2.624
30,10,25,20,12,200,2.624
30,10,25,20,15,125,2.810
30,10,25,20,15,150,2.810
30,10,25,20,15,175,2.810
30,10,25,20,15,200,2.810
30,10,35,5,6,125,2.383
30,10,35,5,6,150,2.384
30,10,35,5,6,175,2.386
30,10,35,5,6,200,2.387
30,10,35,5,9,125,2.711
30,10,35,5,9,150,2.716
30,10,35,5,9,175,2.721
30,10,35,5,9,200,2.724
30,10,35,5,12,125,2.969
30,10,35,5,12,150,2.969
30,10,35,5,12,175,2.969
30,10,35,5,12,200,2.969
30,10,35,5,15,125,3.127
30,10,35,5,15,150,3.127
30,10,35,5,15,175,3.127
30,10,35,5,15,200,3.127
30,10,35,10,6,125,2.465
30,10,35,10,6,150,2.470
30,10,35,10,6,175,2.473
30,10,35,10,6,200,2.476
30,10,35,10,9,125,2.865
30,10,35,10,9,150,2.876
30,10,35,10,9,175,2.876
30,10,35,10,9,200,2.876
